thyme neutral 274 298
curd neutral 411 435
whip unhealthy 243 269
applesauce healthy 336 362
saffron neutral 338 365
haddock healthy 440 467
fennel neutral 263 291
tangerine healthy 419 447
pop neutral 167 196
lentil healthy 221 250
oreo unhealthy 303 332
soysauce neutral 445 475
ceaser healthy 508 538
fritter unhealthy 480 511
nutrient healthy 453 485
soybean healthy 418 451
butterscotch unhealthy 368 402
eggnog unhealthy 447 483
turnip healthy 412 450
yeast neutral 415 453
chestnut healthy 429 481
